Correct !!! 1     th article is classified as Business   ,actually is  Business  
Correct !!! 2     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 3     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 4     th article is classified as Sports     ,actually is  Sci/Tech  
Correct !!! 5     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 6     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 7     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 8     th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 9     th article is classified as World      ,actually is  Sci/Tech  
Correct !!! 10    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 11    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 12    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 13    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 14    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 15    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 16    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 17    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 18    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 19    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Wrong   !!! 20    th article is classified as Business   ,actually is  Sci/Tech  
Wrong   !!! 21    th article is classified as Business   ,actually is  Sci/Tech  
Correct !!! 22    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 23    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 24    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 25    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 26    th article is classified as Sci/Tech   ,actually is  Sci/Tech  
Correct !!! 27    th article is classified as Sports     ,actually is  Sports    
Correct !!! 28    th article is classified as Sports     ,actually is  Sports    
Correct !!! 29    th article is classified as Sports     ,actually is  Sports    
Correct !!! 30    th article is classified as Sports     ,actually is  Sports    
Correct !!! 31    th article is classified as Sports     ,actually is  Sports    
Correct !!! 32    th article is classified as Sports     ,actually is  Sports    
Correct !!! 33    th article is classified as World      ,actually is  World     
Wrong   !!! 34    th article is classified as Sports     ,actually is  World     
Correct !!! 35    th article is classified as World      ,actually is  World     
